date,symbol,holder_level,holders,shares,ratio,source
2026-05-29,1104,15,46,466376767,67.91,TDCC
2026-05-29,1104,16,0,0,0.0,TDCC
2026-05-29,1104,17,55439,686681816,100.0,TDCC
2026-05-29,1104,2,14185,30976114,4.51,TDCC
2026-05-29,1104,3,3048,21856627,3.18,TDCC
2026-05-29,1104,4,1241,14670154,2.13,TDCC
2026-05-29,1104,5,552,9891580,1.44,TDCC
2026-05-29,1104,6,566,13596913,1.98,TDCC
2026-05-29,1104,7,280,9746689,1.41,TDCC
2026-05-29,1104,8,161,7330151,1.06,TDCC
2026-05-29,1104,9,333,23068303,3.35,TDCC
2026-05-29,1107,1,3431,21384,0.21,TDCC
2026-05-29,1107,10,0,0,0.0,TDCC
2026-05-29,1107,11,0,0,0.0,TDCC
2026-05-29,1107,12,0,0,0.0,TDCC
2026-05-29,1107,13,0,0,0.0,TDCC
2026-05-29,1107,14,0,0,0.0,TDCC
2026-05-29,1107,15,1,10069887,99.7,TDCC
2026-05-29,1107,16,0,0,0.0,TDCC
2026-05-29,1107,17,3438,10100000,100.0,TDCC
2026-05-29,1107,2,6,8729,0.08,TDCC
2026-05-29,1107,3,0,0,0.0,TDCC
2026-05-29,1107,4,0,0,0.0,TDCC
2026-05-29,1107,5,0,0,0.0,TDCC
2026-05-29,1107,6,0,0,0.0,TDCC
2026-05-29,1107,7,0,0,0.0,TDCC
2026-05-29,1107,8,0,0,0.0,TDCC
2026-05-29,1107,9,0,0,0.0,TDCC
2026-05-29,1108,1,3673,499694,0.12,TDCC
2026-05-29,1108,10,71,10018887,2.47,TDCC
2026-05-29,1108,11,38,10386768,2.56,TDCC
2026-05-29,1108,12,23,11322509,2.79,TDCC
2026-05-29,1108,13,7,4953316,1.22,TDCC
2026-05-29,1108,14,4,3864567,0.95,TDCC
2026-05-29,1108,15,45,307284526,75.92,TDCC
2026-05-29,1108,16,0,0,0.0,TDCC
2026-05-29,1108,17,12709,404738049,100.0,TDCC
2026-05-29,1108,2,6413,14013596,3.46,TDCC
2026-05-29,1108,3,1272,10622762,2.62,TDCC
2026-05-29,1108,4,350,4502644,1.11,TDCC
2026-05-29,1108,5,319,6036224,1.49,TDCC
2026-05-29,1108,6,205,5450538,1.34,TDCC
2026-05-29,1108,7,87,3181117,0.78,TDCC
2026-05-29,1108,8,78,3668277,0.9,TDCC
2026-05-29,1108,9,124,8932624,2.2,TDCC
2026-05-29,1109,1,4806,1062467,0.31,TDCC
2026-05-29,1109,10,65,9343153,2.73,TDCC
2026-05-29,1109,11,41,11683563,3.42,TDCC
2026-05-29,1109,12,21,10100950,2.96,TDCC
2026-05-29,1109,13,10,6998451,2.05,TDCC
2026-05-29,1109,14,7,6472504,1.89,TDCC
2026-05-29,1109,15,36,248431140,72.81,TDCC
2026-05-29,1109,16,0,0,0.0,TDCC
2026-05-29,1109,17,12092,341158868,100.0,TDCC
2026-05-29,1109,2,5167,11131347,3.26,TDCC
2026-05-29,1109,3,958,7814212,2.29,TDCC
2026-05-29,1109,4,302,3939077,1.15,TDCC
2026-05-29,1109,5,222,4099028,1.2,TDCC
2026-05-29,1109,6,191,4903333,1.43,TDCC
2026-05-29,1109,7,71,2631490,0.77,TDCC
2026-05-29,1109,8,66,3074304,0.9,TDCC
2026-05-29,1109,9,129,9473849,2.77,TDCC
2026-05-29,1110,1,2825,318370,0.05,TDCC
2026-05-29,1110,10,42,5950713,1.04,TDCC
2026-05-29,1110,11,35,9624849,1.68,TDCC
2026-05-29,1110,12,7,3593700,0.62,TDCC
2026-05-29,1110,13,6,4263750,0.74,TDCC
2026-05-29,1110,14,6,5052883,0.88,TDCC
