date,symbol,foreign_net,investment_trust_net,dealer_net,total_institutional_net,source
2026-01-02,3556,2000,0,0,2000,TPEX
2026-01-02,3558,53000,0,-5015,47985,TPEX
2026-01-02,3564,68000,0,-183,67817,TPEX
2026-01-02,3567,-1000,0,0,-1000,TPEX
2026-01-02,3570,14000,0,0,14000,TPEX
2026-01-02,3577,-62000,0,-310,-62310,TPEX
2026-01-02,3580,101030,0,3134,104164,TPEX
2026-01-02,3581,-172000,0,692,-171308,TPEX
2026-01-02,3587,-48348,0,52870,4522,TPEX
2026-01-02,3594,19000,0,-285,18715,TPEX
2026-01-02,3597,-1000,0,9,-991,TPEX
2026-01-02,3609,12000,0,1000,13000,TPEX
2026-01-02,3611,5000,0,0,5000,TPEX
2026-01-02,3615,8000,0,811,8811,TPEX
2026-01-02,3623,-6000,0,1696,-4304,TPEX
2026-01-02,3624,-2096650,0,52165,-2044485,TPEX
2026-01-02,3625,47000,0,444,47444,TPEX
2026-01-02,3628,1000,0,0,1000,TPEX
2026-01-02,3630,229000,0,-285,228715,TPEX
2026-01-02,3631,-6000,0,0,-6000,TPEX
2026-01-02,3646,-1000,0,0,-1000,TPEX
2026-01-02,3663,-234920,0,618774,383854,TPEX
2026-01-02,3664,0,0,4,4,TPEX
2026-01-02,3666,-3000,0,0,-3000,TPEX
2026-01-02,3672,-1000,0,0,-1000,TPEX
2026-01-02,3675,-42000,0,17795,-24205,TPEX
2026-01-02,3680,970018,520000,141911,1631929,TPEX
2026-01-02,3684,12000,0,-11468,532,TPEX
2026-01-02,3685,-226000,0,-795,-226795,TPEX
2026-01-02,3687,48000,0,-1982,46018,TPEX
2026-01-02,3689,1268650,0,279884,1548534,TPEX
2026-01-02,3691,-53000,0,234,-52766,TPEX
2026-01-02,3693,12000,-43000,936,-30064,TPEX
2026-01-02,3707,-1164000,0,51895,-1112105,TPEX
2026-01-02,3709,1138000,0,162237,1300237,TPEX
2026-01-02,3710,28000,0,0,28000,TPEX
2026-01-02,3713,0,0,1,1,TPEX
2026-01-02,4102,27000,0,-6,26994,TPEX
2026-01-02,4105,-302000,-1000,99811,-203189,TPEX
2026-01-02,4107,0,0,-771,-771,TPEX
2026-01-02,4109,51000,0,0,51000,TPEX
2026-01-02,4111,5000,0,0,5000,TPEX
2026-01-02,4113,4000,0,-38909,-34909,TPEX
2026-01-02,4114,0,0,-10,-10,TPEX
2026-01-02,4116,0,0,0,0,TPEX
2026-01-02,4120,1000,0,0,1000,TPEX
2026-01-02,4121,15000,0,0,15000,TPEX
2026-01-02,4123,-947369,-96000,-389,-1043758,TPEX
2026-01-02,4126,1000,0,0,1000,TPEX
2026-01-02,4127,1000,0,0,1000,TPEX
2026-01-02,4128,-64000,0,7993,-56007,TPEX
2026-01-02,4129,-57000,0,-6107,-63107,TPEX
2026-01-02,4130,25000,0,0,25000,TPEX
2026-01-02,4131,-10000,0,4000,-6000,TPEX
2026-01-02,4138,3000,0,0,3000,TPEX
2026-01-02,4147,-121000,0,-554,-121554,TPEX
2026-01-02,4153,-3000,0,0,-3000,TPEX
2026-01-02,4157,-1033000,0,-1218,-1034218,TPEX
2026-01-02,4160,1000,0,4,1004,TPEX
2026-01-02,4161,15000,0,0,15000,TPEX
2026-01-02,4162,337000,0,281,337281,TPEX
